account_id,plan,mrr,payment_method,churned
9231-ZJYAM,Month-to-month,78.85,Electronic check,Yes
6982-SSHFK,Month-to-month,44.4,Mailed check,Yes
0727-BMPLR,One year,100.0,Electronic check,Yes
1038-ZAGBI,One year,19.8,Bank transfer (automatic),Yes
3027-ZTDHO,Month-to-month,89.9,Electronic check,Yes
2382-BCKQJ,One year,100.15,Electronic check,Yes
2207-NHRJK,Month-to-month,50.8,Electronic check,Yes
0947-MUGVO,Month-to-month,73.65,Electronic check,Yes
9944-HKVVB,Month-to-month,95.1,Electronic check,Yes
4124-MMETB,Month-to-month,94.65,Credit card (automatic),Yes
3671-SHRSP,Month-to-month,80.6,Mailed check,Yes
3313-QKNKB,One year,85.55,Electronic check,Yes
5073-WXOYN,Month-to-month,50.8,Electronic check,Yes
0207-MDKNV,Month-to-month,105.1,Electronic check,Yes
9851-KIELU,Month-to-month,110.1,Electronic check,Yes
3908-BLSYF,Month-to-month,83.9,Electronic check,Yes
7549-MYGPK,Month-to-month,100.55,Electronic check,Yes
3804-RVTGV,Month-to-month,103.85,Bank transfer (automatic),Yes
9227-LUNBG,Month-to-month,24.6,Electronic check,Yes
4315-MURBD,Month-to-month,98.9,Bank transfer (automatic),Yes
9734-YWGEX,Month-to-month,98.3,Credit card (automatic),Yes
2719-BDAQO,Month-to-month,93.85,Electronic check,Yes
0781-LKXBR,Month-to-month,100.5,Electronic check,Yes
1907-UBQFC,Month-to-month,72.85,Electronic check,Yes
6513-EECDB,Month-to-month,73.55,Electronic check,Yes
7074-IEVOJ,Month-to-month,79.4,Electronic check,Yes
9625-QSTYE,Month-to-month,81.15,Electronic check,Yes
4750-ZRXIU,Month-to-month,84.6,Electronic check,Yes
6400-BWQKW,Month-to-month,79.05,Electronic check,Yes
6680-WKXRZ,Month-to-month,74.4,Bank transfer (automatic),Yes
7028-DVOIQ,Month-to-month,99.05,Electronic check,Yes
4208-UFFGW,Month-to-month,44.95,Mailed check,Yes
9448-REEVD,Month-to-month,44.7,Credit card (automatic),Yes
9117-SHLZX,Month-to-month,45.7,Mailed check,Yes
9889-TMAHG,Month-to-month,100.3,Credit card (automatic),Yes
4541-RMRLG,Month-to-month,19.25,Electronic check,Yes
3158-MOERK,Month-to-month,96.0,Electronic check,Yes
7294-TMAOP,Month-to-month,90.55,Electronic check,Yes
8919-FYFQZ,Month-to-month,30.35,Electronic check,Yes
2834-JRTUA,Two year,108.05,Electronic check,Yes
5875-YPQFJ,Month-to-month,69.9,Electronic check,Yes
6646-QVXLR,One year,103.75,Electronic check,Yes
8603-IJWDN,Month-to-month,86.6,Electronic check,Yes
9369-XFEHK,Month-to-month,80.6,Bank transfer (automatic),Yes
3842-IYKUE,Month-to-month,85.3,Credit card (automatic),Yes
6641-XRPSU,Month-to-month,70.0,Credit card (automatic),Yes
1374-DMZUI,Month-to-month,94.3,Electronic check,Yes
8357-EQXFO,Month-to-month,95.35,Electronic check,Yes
1989-PRJHP,Month-to-month,75.5,Electronic check,Yes
9524-EGPJC,Month-to-month,90.1,Electronic check,Yes
6993-OHLXR,Month-to-month,68.95,Electronic check,Yes
8818-XYFCQ,Month-to-month,99.55,Credit card (automatic),Yes
4695-VADHF,Month-to-month,57.45,Electronic check,Yes
3863-IUBJR,One year,53.65,Credit card (automatic),Yes
4822-RVYBB,Month-to-month,100.6,Electronic check,Yes
8436-BJUMM,Month-to-month,83.75,Electronic check,Yes
4184-TJFAN,Month-to-month,88.3,Mailed check,Yes
4145-UQXUQ,Month-to-month,92.1,Electronic check,Yes
9948-YPTDG,Month-to-month,79.45,Electronic check,Yes
1236-WFCDV,Month-to-month,90.45,Credit card (automatic),Yes
4883-QICIH,Month-to-month,69.75,Bank transfer (automatic),Yes
8329-IBCTI,Month-to-month,19.65,Mailed check,Yes
1271-SJBGZ,Month-to-month,43.65,Electronic check,Yes
5669-SRAIP,Month-to-month,39.5,Electronic check,Yes
5981-ITEMU,Month-to-month,97.1,Bank transfer (automatic),Yes
6941-PMGEP,Month-to-month,80.0,Electronic check,Yes
1624-WOIWJ,Month-to-month,84.7,Mailed check,Yes
2074-GKOWZ,Month-to-month,89.55,Bank transfer (automatic),Yes
0376-YMCJC,Month-to-month,90.6,Electronic check,Yes
0634-SZPQA,Month-to-month,90.05,Bank transfer (automatic),Yes
5536-RTPWK,Month-to-month,99.05,Bank transfer (automatic),Yes
6166-ILMNY,Month-to-month,69.75,Bank transfer (automatic),Yes
3097-NNSPB,Month-to-month,49.05,Credit card (automatic),Yes
0655-RBDUG,Month-to-month,98.05,Bank transfer (automatic),Yes
4361-BKAXE,Month-to-month,114.5,Bank transfer (automatic),Yes
9878-TNQGW,Month-to-month,80.95,Electronic check,Yes
4441-NIHPT,Month-to-month,74.3,Electronic check,Yes
8999-BOHSE,Month-to-month,89.7,Bank transfer (automatic),Yes
7029-RPUAV,Month-to-month,100.45,Credit card (automatic),Yes
4607-CHPCA,One year,90.4,Electronic check,Yes
8824-RWFXJ,Month-to-month,56.15,Mailed check,Yes
9763-PDTKK,Month-to-month,94.4,Bank transfer (automatic),Yes
7627-JKIAZ,Month-to-month,78.95,Credit card (automatic),Yes
4081-DYXAV,One year,44.85,Credit card (automatic),Yes
8111-SLLHI,Month-to-month,105.65,Electronic check,Yes
0927-LCSMG,Month-to-month,74.65,Mailed check,Yes
8257-RZAHR,Month-to-month,64.7,Bank transfer (automatic),Yes
5293-WXJAK,Month-to-month,104.05,Bank transfer (automatic),Yes
0841-NULXI,Month-to-month,35.55,Electronic check,Yes
7851-WZEKY,Month-to-month,95.15,Electronic check,Yes
8844-TONUD,Month-to-month,96.65,Mailed check,Yes
4086-YQSNZ,Month-to-month,80.4,Electronic check,Yes
5868-CZJDR,Month-to-month,31.35,Mailed check,Yes
0135-NMXAP,Month-to-month,89.75,Bank transfer (automatic),Yes
6270-OMFIW,One year,94.4,Electronic check,Yes
0107-WESLM,Month-to-month,19.85,Electronic check,Yes
3992-YWPKO,Month-to-month,109.9,Credit card (automatic),Yes
0125-LZQXK,Month-to-month,101.35,Electronic check,Yes
8399-YNDCH,Month-to-month,60.05,Bank transfer (automatic),Yes
5673-FSSMF,Month-to-month,60.15,Electronic check,Yes
1579-KLYDT,Month-to-month,90.45,Electronic check,Yes
3927-NLNRY,One year,94.25,Bank transfer (automatic),Yes
6358-LYNGM,Month-to-month,74.9,Electronic check,Yes
5494-HECPR,Month-to-month,80.25,Electronic check,Yes
9824-BEMCV,Month-to-month,69.0,Electronic check,Yes
1373-ORVIZ,Month-to-month,66.35,Electronic check,Yes
9866-QEVEE,Month-to-month,86.0,Bank transfer (automatic),Yes
9897-KXHCM,Month-to-month,80.3,Electronic check,Yes
7979-CORPM,Month-to-month,90.55,Credit card (automatic),Yes
1618-CFHME,Month-to-month,75.9,Electronic check,Yes
3165-HDOEW,Month-to-month,45.85,Mailed check,Yes
6581-NQCBA,Month-to-month,49.95,Electronic check,Yes
1689-MRZQR,Month-to-month,78.3,Electronic check,Yes
5835-BEQEU,Month-to-month,76.95,Electronic check,Yes
5565-FILXA,Month-to-month,96.15,Electronic check,Yes
5552-ZNFSJ,Month-to-month,45.3,Electronic check,Yes
2223-KAGMX,Month-to-month,19.4,Bank transfer (automatic),Yes
7321-PKUYW,Month-to-month,90.15,Electronic check,Yes
2833-SLKDQ,Month-to-month,45.05,Mailed check,Yes
7595-EUIVN,Month-to-month,75.8,Electronic check,Yes
2026-TGDHM,Month-to-month,79.3,Electronic check,Yes
4030-VPZBD,Month-to-month,30.9,Electronic check,Yes
4187-CINZD,One year,95.25,Credit card (automatic),Yes
6818-WOBHJ,Month-to-month,89.6,Bank transfer (automatic),Yes
2408-TZMJL,One year,110.15,Electronic check,Yes
9134-CEQMF,Month-to-month,89.5,Electronic check,Yes
7993-PYKOF,Month-to-month,75.0,Electronic check,Yes
5027-XWQHA,Month-to-month,44.75,Electronic check,Yes
4566-QVRRW,Month-to-month,44.05,Electronic check,Yes
8519-IMDHU,Month-to-month,85.6,Bank transfer (automatic),Yes
0201-OAMXR,One year,115.55,Credit card (automatic),Yes
3372-KWFBM,Month-to-month,86.6,Electronic check,Yes
7831-QGOXH,Month-to-month,85.2,Electronic check,Yes
6393-WRYZE,Month-to-month,97.65,Electronic check,Yes
6599-RCLCJ,Month-to-month,109.55,Electronic check,Yes
9831-BPFRI,One year,89.55,Electronic check,Yes
1725-MIMXW,Month-to-month,19.45,Mailed check,Yes
0031-PVLZI,Month-to-month,20.35,Mailed check,Yes
7206-GZCDC,Month-to-month,69.25,Electronic check,Yes
4791-QRGMF,One year,99.5,Bank transfer (automatic),Yes
1768-ZAIFU,Month-to-month,25.2,Electronic check,Yes
4671-LXRDQ,Month-to-month,45.0,Mailed check,Yes
1934-SJVJK,Month-to-month,20.15,Mailed check,Yes
3838-OZURD,Month-to-month,105.0,Credit card (automatic),Yes
9269-CQOOL,Month-to-month,54.7,Credit card (automatic),Yes
2845-HSJCY,Month-to-month,87.25,Electronic check,Yes
1184-PJVDB,Month-to-month,79.95,Electronic check,Yes
9415-DPEWS,Month-to-month,88.35,Electronic check,Yes
7943-RQCHR,Month-to-month,94.75,Electronic check,Yes
3793-MMFUH,Month-to-month,95.05,Electronic check,Yes
3249-ZPQRG,Month-to-month,78.45,Electronic check,Yes
2568-BRGYX,Month-to-month,70.2,Electronic check,Yes
7721-JXEAW,Month-to-month,41.05,Bank transfer (automatic),Yes
7249-WBIYX,Month-to-month,85.6,Electronic check,Yes
6567-HOOPW,Month-to-month,79.2,Electronic check,Yes
3164-AALRN,One year,70.0,Mailed check,Yes
3334-CTHOL,Month-to-month,49.95,Bank transfer (automatic),Yes
4704-ERYFC,Month-to-month,69.25,Electronic check,Yes
8621-MNIHH,Month-to-month,94.25,Electronic check,Yes
0471-LVHGK,One year,73.0,Electronic check,Yes
9518-RWHZL,One year,100.05,Credit card (automatic),Yes
5419-CONWX,Month-to-month,99.8,Credit card (automatic),Yes
6240-EURKS,Month-to-month,35.0,Electronic check,Yes
6960-HVYXR,Month-to-month,76.0,Electronic check,Yes
7024-OHCCK,Month-to-month,93.85,Electronic check,Yes
7861-UVUFT,Month-to-month,84.3,Electronic check,Yes
5357-TZHPP,Month-to-month,84.4,Credit card (automatic),Yes
0680-DFNNY,Month-to-month,101.1,Electronic check,Yes
7767-UXAGJ,Month-to-month,50.45,Electronic check,Yes
1571-SAVHK,Month-to-month,99.95,Mailed check,Yes
9546-CQJSU,Month-to-month,91.4,Electronic check,Yes
0506-LVNGN,Month-to-month,75.55,Credit card (automatic),Yes
2951-QOQTK,Month-to-month,80.8,Credit card (automatic),Yes
3473-XIIIT,Month-to-month,100.0,Electronic check,Yes
7893-IXHRQ,Month-to-month,20.55,Electronic check,Yes
2952-QAYZF,Month-to-month,85.3,Electronic check,Yes
4763-PGDPO,Month-to-month,70.4,Electronic check,Yes
5394-SVGJV,Month-to-month,98.8,Bank transfer (automatic),Yes
9283-LZQOH,Month-to-month,74.4,Credit card (automatic),Yes
7079-QRCBC,Month-to-month,98.75,Electronic check,Yes
5469-CTCWN,One year,106.0,Electronic check,Yes
9851-QXEEQ,Month-to-month,104.7,Electronic check,Yes
9809-IMGCQ,Month-to-month,96.7,Electronic check,Yes
5208-HFSBT,Month-to-month,55.05,Credit card (automatic),Yes
3254-YRILK,Month-to-month,88.2,Electronic check,Yes
2667-WYLWJ,One year,19.75,Mailed check,Yes
0529-ONKER,Month-to-month,75.65,Electronic check,Yes
5240-IJOQT,Month-to-month,74.7,Electronic check,Yes
1092-GANHU,Month-to-month,76.65,Electronic check,Yes
0661-XEYAN,Month-to-month,25.8,Mailed check,Yes
7881-EVUAD,Month-to-month,42.6,Electronic check,Yes
5766-XQXMQ,Month-to-month,68.85,Bank transfer (automatic),Yes
3703-VAVCL,Month-to-month,90.0,Credit card (automatic),Yes
8519-QJGJD,Month-to-month,75.35,Electronic check,Yes
6326-MTTXK,Month-to-month,100.85,Electronic check,Yes
0330-IVZHA,Month-to-month,69.95,Electronic check,Yes
2886-KEFUM,One year,107.5,Electronic check,Yes
4237-RLAQD,Month-to-month,45.85,Mailed check,Yes
9651-GTSAQ,One year,106.1,Bank transfer (automatic),Yes
3186-BAXNB,Month-to-month,91.7,Electronic check,Yes
0637-YLETY,Month-to-month,95.6,Credit card (automatic),Yes
1157-BQCUW,Month-to-month,74.95,Electronic check,Yes
2660-EMUBI,Month-to-month,95.35,Electronic check,Yes
7675-OZCZG,Month-to-month,45.0,Electronic check,Yes
2003-CKLOR,Month-to-month,99.5,Electronic check,Yes
9254-RBFON,One year,98.6,Bank transfer (automatic),Yes
1205-WNWPJ,Month-to-month,59.5,Mailed check,Yes
9391-EOYLI,Month-to-month,80.45,Electronic check,Yes
8387-MOJJT,Month-to-month,77.95,Credit card (automatic),Yes
2761-OCIAX,Month-to-month,74.7,Electronic check,Yes
3068-OMWZA,Month-to-month,88.8,Electronic check,Yes
6032-KRXXO,Month-to-month,90.25,Electronic check,Yes
7459-RRWQZ,Month-to-month,64.65,Bank transfer (automatic),Yes
4154-AQUGT,Month-to-month,89.05,Bank transfer (automatic),Yes
3092-IGHWF,One year,87.4,Electronic check,Yes
8017-LXHFA,Month-to-month,94.75,Electronic check,Yes
6352-TWCAU,Month-to-month,86.45,Electronic check,Yes
2929-QNSRW,One year,98.25,Electronic check,Yes
1262-OPMFY,Month-to-month,75.75,Bank transfer (automatic),Yes
4248-QPAVC,Month-to-month,85.35,Bank transfer (automatic),Yes
1899-VXWXM,One year,106.1,Credit card (automatic),Yes
4690-LLKUA,Month-to-month,45.05,Electronic check,Yes
3331-HQDTW,Month-to-month,109.8,Mailed check,Yes
9490-DFPMD,Month-to-month,84.65,Electronic check,Yes
5442-XSDCW,Month-to-month,79.5,Bank transfer (automatic),Yes
3049-NDXFL,Month-to-month,85.8,Mailed check,Yes
8580-AECUZ,Month-to-month,79.1,Electronic check,Yes
7963-GQRMY,Month-to-month,44.3,Mailed check,Yes
1228-FZFRV,Month-to-month,105.95,Credit card (automatic),Yes
2058-DCJBE,Month-to-month,69.75,Electronic check,Yes
5364-XYIRR,Month-to-month,94.65,Electronic check,Yes
4829-AUOAX,Month-to-month,96.05,Bank transfer (automatic),Yes
5047-LHVLY,Month-to-month,50.15,Mailed check,Yes
9158-VCTQB,Month-to-month,113.6,Bank transfer (automatic),Yes
6311-UEUME,Month-to-month,78.9,Electronic check,Yes
6839-ITVZJ,Month-to-month,60.05,Electronic check,Yes
0375-HVGXO,Month-to-month,34.7,Electronic check,Yes
8593-WHYHV,Month-to-month,85.3,Electronic check,Yes
6097-EQISJ,One year,102.45,Credit card (automatic),Yes
4423-YLHDV,Month-to-month,104.4,Bank transfer (automatic),Yes
0107-YHINA,Month-to-month,99.75,Electronic check,Yes
8640-SDGKB,Month-to-month,74.4,Electronic check,Yes
4116-TZAQJ,Month-to-month,74.25,Credit card (automatic),Yes
3877-JRJIP,Month-to-month,59.85,Electronic check,Yes
